ID,Name,Risk Elements,Tags,CreationDate,TP Score (%),APT Profile,Kill Chain Phase,Affected Compliance,Status
219,Threat4,10.10.10.12,tag1,06/20/2020 17:32:33,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
220,Threat5,10.10.10.15,tag0,01/25/2016 19:33:14,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
221,Threat1,10.10.10.10,no tag,04/11/2013 22:48,81,APT1-70%,Exploitation,"PCI, GDPR",Open
222,Threat2,10.10.10.11,tag1,10/08/2012 01:31,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
223,Threat3,10.10.10.13,tag2,08/20/2016 12:35:59,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
224,Threat4,10.10.10.12,tag1,12/24/2012 23:30:58,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
225,Threat5,10.10.10.15,tag0,01/29/2016 20:24:33,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
226,Threat1,10.10.10.10,no tag,05/02/2019 01:23,81,APT1-70%,Exploitation,"PCI, GDPR",Open
227,Threat2,10.10.10.11,tag1,01/16/2015 07:50:40,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
228,Threat3,10.10.10.13,tag2,03/13/2014 00:13:42,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
229,Threat4,10.10.10.12,tag1,12/16/2018 10:35:49,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
230,Threat5,10.10.10.15,tag0,04/23/2014 19:39:32,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
231,Threat1,10.10.10.10,no tag,06/24/2016 05:59:02,81,APT1-70%,Exploitation,"PCI, GDPR",Open
232,Threat2,10.10.10.11,tag1,04/27/2019 10:46:53,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
233,Threat3,10.10.10.13,tag2,10/08/2017 21:39,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
234,Threat4,10.10.10.12,tag1,01/16/2018 05:02:26,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
235,Threat5,10.10.10.15,tag0,12/17/2016 11:58:26,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
236,Threat1,10.10.10.10,no tag,02/12/2018 15:11,81,APT1-70%,Exploitation,"PCI, GDPR",Open
237,Threat2,10.10.10.11,tag1,02/27/2015 13:12:16,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
238,Threat3,10.10.10.13,tag2,02/23/2012 17:50:23,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
239,Threat4,10.10.10.12,tag1,03/22/2012 21:15:51,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
240,Threat5,10.10.10.15,tag0,01/02/2014 14:05,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
241,Threat1,10.10.10.10,no tag,01/27/2013 00:16:41,81,APT1-70%,Exploitation,"PCI, GDPR",Open
242,Threat2,10.10.10.11,tag1,05/30/2020 02:27:27,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
243,Threat3,10.10.10.13,tag2,01/31/2016 23:33:57,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
244,Threat4,10.10.10.12,tag1,06/23/2017 00:55:04,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
245,Threat5,10.10.10.15,tag0,03/16/2013 17:21:16,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
246,Threat1,10.10.10.10,no tag,12/29/2018 08:29:04,81,APT1-70%,Exploitation,"PCI, GDPR",Open
247,Threat2,10.10.10.11,tag1,09/23/2015 03:22:27,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
248,Threat3,10.10.10.13,tag2,10/24/2014 00:45:34,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
249,Threat4,10.10.10.12,tag1,06/29/2019 04:04:09,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
250,Threat5,10.10.10.15,tag0,06/08/2019 00:52,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
251,Threat1,10.10.10.10,no tag,07/11/2018 03:52,81,APT1-70%,Exploitation,"PCI, GDPR",Open
252,Threat2,10.10.10.11,tag1,06/11/2018 06:39,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
253,Threat3,10.10.10.13,tag2,03/07/2015 15:35,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
254,Threat4,10.10.10.12,tag1,04/04/2018 15:15,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
255,Threat5,10.10.10.15,tag0,05/24/2016 17:28:11,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
256,Threat1,10.10.10.10,no tag,11/02/2016 17:43,81,APT1-70%,Exploitation,"PCI, GDPR",Open
257,Threat2,10.10.10.11,tag1,04/08/2020 21:39,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
258,Threat3,10.10.10.13,tag2,01/06/2012 19:24,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
259,Threat4,10.10.10.12,tag1,04/24/2012 03:59:18,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
260,Threat5,10.10.10.15,tag0,08/11/2018 13:37,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
261,Threat1,10.10.10.10,no tag,07/17/2020 07:53:11,81,APT1-70%,Exploitation,"PCI, GDPR",Open
262,Threat2,10.10.10.11,tag1,08/17/2013 13:25:09,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
263,Threat3,10.10.10.13,tag2,09/28/2014 15:00:41,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
264,Threat4,10.10.10.12,tag1,01/19/2018 06:37:14,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
265,Threat5,10.10.10.15,tag0,09/15/2014 12:03:44,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
266,Threat1,10.10.10.10,no tag,11/04/2019 06:05,81,APT1-70%,Exploitation,"PCI, GDPR",Open
267,Threat2,10.10.10.11,tag1,04/16/2012 11:24:34,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
268,Threat3,10.10.10.13,tag2,08/01/2019 15:46,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
269,Threat4,10.10.10.12,tag1,06/02/2014 10:42,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
270,Threat5,10.10.10.15,tag0,02/11/2012 18:30,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
271,Threat1,10.10.10.10,no tag,05/25/2018 17:14:26,81,APT1-70%,Exploitation,"PCI, GDPR",Open
272,Threat2,10.10.10.11,tag1,03/11/2015 00:49,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
273,Threat3,10.10.10.13,tag2,01/27/2013 00:49:04,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
274,Threat4,10.10.10.12,tag1,12/10/2017 06:23,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
275,Threat5,10.10.10.15,tag0,02/27/2012 18:15:53,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
276,Threat1,10.10.10.10,no tag,07/04/2018 03:22,81,APT1-70%,Exploitation,"PCI, GDPR",Open
277,Threat2,10.10.10.11,tag1,02/12/2015 19:37,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
278,Threat3,10.10.10.13,tag2,06/04/2015 10:29,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
279,Threat4,10.10.10.12,tag1,03/01/2014 11:42,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
280,Threat5,10.10.10.15,tag0,01/28/2016 03:13:40,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
281,Threat1,10.10.10.10,no tag,02/09/2014 10:15,81,APT1-70%,Exploitation,"PCI, GDPR",Open
282,Threat2,10.10.10.11,tag1,10/30/2015 06:34:28,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
283,Threat3,10.10.10.13,tag2,10/13/2015 16:37:38,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
284,Threat4,10.10.10.12,tag1,06/25/2017 21:01:50,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
285,Threat5,10.10.10.15,tag0,09/15/2018 02:58:48,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
286,Threat1,10.10.10.10,no tag,02/24/2016 08:37:37,81,APT1-70%,Exploitation,"PCI, GDPR",Open
287,Threat2,10.10.10.11,tag1,08/17/2015 22:43:12,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
288,Threat3,10.10.10.13,tag2,03/24/2018 17:44:59,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
289,Threat4,10.10.10.12,tag1,11/27/2015 18:41:30,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
290,Threat5,10.10.10.15,tag0,11/06/2019 03:13,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
291,Threat1,10.10.10.10,no tag,03/01/2017 15:18,81,APT1-70%,Exploitation,"PCI, GDPR",Open
292,Threat2,10.10.10.11,tag1,06/02/2016 16:13,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
293,Threat3,10.10.10.13,tag2,03/16/2015 08:18:49,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
294,Threat4,10.10.10.12,tag1,02/17/2015 12:12:22,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
295,Threat5,10.10.10.15,tag0,10/29/2018 05:10:41,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
296,Threat1,10.10.10.10,no tag,07/29/2017 13:30:54,81,APT1-70%,Exploitation,"PCI, GDPR",Open
297,Threat2,10.10.10.11,tag1,02/04/2018 11:17,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
298,Threat3,10.10.10.13,tag2,12/21/2018 04:53:53,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
299,Threat4,10.10.10.12,tag1,03/08/2016 23:23,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
300,Threat5,10.10.10.15,tag0,05/17/2018 19:02:44,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
301,Threat1,10.10.10.10,no tag,02/20/2016 14:40:50,81,APT1-70%,Exploitation,"PCI, GDPR",Open
302,Threat2,10.10.10.11,tag1,02/03/2019 15:50,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
303,Threat3,10.10.10.13,tag2,04/18/2012 04:28:12,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
304,Threat4,10.10.10.12,tag1,10/19/2018 18:50:15,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
305,Threat5,10.10.10.15,tag0,09/09/2013 14:43,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
306,Threat1,10.10.10.10,no tag,11/08/2012 17:38,81,APT1-70%,Exploitation,"PCI, GDPR",Open
307,Threat2,10.10.10.11,tag1,06/30/2016 04:42:30,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
308,Threat3,10.10.10.13,tag2,06/20/2016 17:51:44,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
309,Threat4,10.10.10.12,tag1,08/05/2014 08:41,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
310,Threat5,10.10.10.15,tag0,02/13/2014 03:08:55,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
311,Threat1,10.10.10.10,no tag,07/06/2017 20:00,81,APT1-70%,Exploitation,"PCI, GDPR",Open
312,Threat2,10.10.10.11,tag1,11/09/2018 15:52,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
313,Threat3,10.10.10.13,tag2,08/15/2015 06:44:24,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
314,Threat4,10.10.10.12,tag1,08/30/2018 08:32:52,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
315,Threat5,10.10.10.15,tag0,03/29/2015 03:52:49,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
316,Threat1,10.10.10.10,no tag,09/02/2014 22:21,81,APT1-70%,Exploitation,"PCI, GDPR",Open
317,Threat2,10.10.10.11,tag1,11/25/2019 21:19:40,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
318,Threat3,10.10.10.13,tag2,01/12/2015 11:50,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
319,Threat4,10.10.10.12,tag1,12/11/2019 19:13,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
320,Threat5,10.10.10.15,tag0,11/06/2012 17:45,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
321,Threat1,10.10.10.10,no tag,03/07/2020 23:11,81,APT1-70%,Exploitation,"PCI, GDPR",Open
322,Threat2,10.10.10.11,tag1,04/19/2020 06:29:24,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
323,Threat3,10.10.10.13,tag2,02/20/2014 20:04:52,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
324,Threat4,10.10.10.12,tag1,02/02/2020 14:54,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
325,Threat5,10.10.10.15,tag0,10/07/2013 12:28,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
326,Threat1,10.10.10.10,no tag,01/18/2014 00:35:40,81,APT1-70%,Exploitation,"PCI, GDPR",Open
327,Threat2,10.10.10.11,tag1,12/07/2016 00:11,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
328,Threat3,10.10.10.13,tag2,01/23/2016 00:46:52,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
329,Threat4,10.10.10.12,tag1,09/15/2019 22:29:31,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
330,Threat5,10.10.10.15,tag0,11/25/2012 19:44:32,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
331,Threat1,10.10.10.10,no tag,10/29/2015 19:22:49,81,APT1-70%,Exploitation,"PCI, GDPR",Open
332,Threat2,10.10.10.11,tag1,06/26/2019 10:52:23,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
333,Threat3,10.10.10.13,tag2,03/28/2018 01:23:26,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
334,Threat4,10.10.10.12,tag1,02/26/2014 02:56:44,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
335,Threat5,10.10.10.15,tag0,06/16/2012 13:24:54,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
336,Threat1,10.10.10.10,no tag,04/21/2018 16:15:00,81,APT1-70%,Exploitation,"PCI, GDPR",Open
337,Threat2,10.10.10.11,tag1,10/03/2013 10:41,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
338,Threat3,10.10.10.13,tag2,01/06/2016 01:29,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
339,Threat4,10.10.10.12,tag1,06/17/2014 20:33:22,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
340,Threat5,10.10.10.15,tag0,12/29/2015 09:41:29,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
341,Threat1,10.10.10.10,no tag,08/02/2016 09:05,81,APT1-70%,Exploitation,"PCI, GDPR",Open
342,Threat2,10.10.10.11,tag1,04/26/2014 04:16:20,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
343,Threat3,10.10.10.13,tag2,10/25/2018 01:47:10,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
344,Threat4,10.10.10.12,tag1,10/11/2015 23:06,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
345,Threat5,10.10.10.15,tag0,10/23/2013 02:54:13,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
346,Threat1,10.10.10.10,no tag,11/02/2012 09:06,81,APT1-70%,Exploitation,"PCI, GDPR",Open
347,Threat2,10.10.10.11,tag1,03/28/2020 19:13:37,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
348,Threat3,10.10.10.13,tag2,02/01/2014 03:54,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
349,Threat4,10.10.10.12,tag1,07/08/2019 18:21,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
350,Threat5,10.10.10.15,tag0,04/01/2017 04:01,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
351,Threat1,10.10.10.10,no tag,11/12/2014 14:33,81,APT1-70%,Exploitation,"PCI, GDPR",Open
352,Threat2,10.10.10.11,tag1,08/03/2012 06:34,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
353,Threat3,10.10.10.13,tag2,04/16/2013 20:55:59,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
354,Threat4,10.10.10.12,tag1,07/17/2019 17:38:51,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
355,Threat5,10.10.10.15,tag0,08/21/2014 10:57:17,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
356,Threat1,10.10.10.10,no tag,06/03/2020 07:23,81,APT1-70%,Exploitation,"PCI, GDPR",Open
357,Threat2,10.10.10.11,tag1,03/28/2013 05:32:49,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
358,Threat3,10.10.10.13,tag2,11/13/2019 15:03:29,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
359,Threat4,10.10.10.12,tag1,01/13/2015 06:11:15,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
360,Threat5,10.10.10.15,tag0,03/31/2020 12:45:48,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
361,Threat1,10.10.10.10,no tag,10/16/2014 06:12:04,81,APT1-70%,Exploitation,"PCI, GDPR",Open
362,Threat2,10.10.10.11,tag1,05/03/2016 13:30,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
363,Threat3,10.10.10.13,tag2,02/16/2017 19:12:49,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
364,Threat4,10.10.10.12,tag1,08/19/2019 01:10:40,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
365,Threat5,10.10.10.15,tag0,10/28/2017 12:18:28,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
366,Threat1,10.10.10.10,no tag,06/27/2014 16:08:03,81,APT1-70%,Exploitation,"PCI, GDPR",Open
367,Threat2,10.10.10.11,tag1,09/07/2019 06:21,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
368,Threat3,10.10.10.13,tag2,04/23/2013 07:58:51,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
369,Threat4,10.10.10.12,tag1,11/06/2018 14:35,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
370,Threat5,10.10.10.15,tag0,02/23/2016 22:40:23,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
371,Threat1,10.10.10.10,no tag,10/10/2015 14:42,81,APT1-70%,Exploitation,"PCI, GDPR",Open
372,Threat2,10.10.10.11,tag1,12/01/2012 05:54,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
373,Threat3,10.10.10.13,tag2,08/19/2019 11:43:01,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
374,Threat4,10.10.10.12,tag1,08/21/2014 16:03:08,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
375,Threat5,10.10.10.15,tag0,09/27/2012 02:26:15,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
376,Threat1,10.10.10.10,no tag,01/27/2017 06:46:00,81,APT1-70%,Exploitation,"PCI, GDPR",Open
377,Threat2,10.10.10.11,tag1,02/02/2019 14:40,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
378,Threat3,10.10.10.13,tag2,06/07/2019 22:21,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
379,Threat4,10.10.10.12,tag1,04/13/2018 05:33:36,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
380,Threat5,10.10.10.15,tag0,01/01/2020 18:32,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
381,Threat1,10.10.10.10,no tag,10/27/2012 16:20:55,81,APT1-70%,Exploitation,"PCI, GDPR",Open
382,Threat2,10.10.10.11,tag1,10/20/2012 21:39:27,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
383,Threat3,10.10.10.13,tag2,04/30/2018 03:36:36,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
384,Threat4,10.10.10.12,tag1,10/02/2014 04:14,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
385,Threat5,10.10.10.15,tag0,12/22/2019 01:21:07,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
386,Threat1,10.10.10.10,no tag,07/13/2012 07:01:01,81,APT1-70%,Exploitation,"PCI, GDPR",Open
387,Threat2,10.10.10.11,tag1,04/12/2020 04:50,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
388,Threat3,10.10.10.13,tag2,04/25/2012 20:50:57,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
389,Threat4,10.10.10.12,tag1,12/31/2013 02:32:58,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
390,Threat5,10.10.10.15,tag0,01/10/2015 03:55,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
391,Threat1,10.10.10.10,no tag,03/08/2012 20:13,81,APT1-70%,Exploitation,"PCI, GDPR",Open
392,Threat2,10.10.10.11,tag1,12/25/2014 07:54:30,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
393,Threat3,10.10.10.13,tag2,03/08/2014 22:56,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
394,Threat4,10.10.10.12,tag1,01/11/2013 13:45,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
395,Threat5,10.10.10.15,tag0,01/21/2014 12:10:09,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
396,Threat1,10.10.10.10,no tag,08/18/2016 04:19:51,81,APT1-70%,Exploitation,"PCI, GDPR",Open
397,Threat2,10.10.10.11,tag1,11/19/2015 14:26:39,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
398,Threat3,10.10.10.13,tag2,07/07/2018 13:32,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
399,Threat4,10.10.10.12,tag1,01/29/2018 18:01:02,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
400,Threat5,10.10.10.15,tag0,10/26/2018 04:29:56,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
401,Threat1,10.10.10.10,no tag,01/26/2012 22:02:01,81,APT1-70%,Exploitation,"PCI, GDPR",Open
402,Threat2,10.10.10.11,tag1,12/21/2018 15:51:42,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
403,Threat3,10.10.10.13,tag2,04/20/2020 12:52:11,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
404,Threat4,10.10.10.12,tag1,05/22/2015 08:18:24,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
405,Threat5,10.10.10.15,tag0,09/24/2018 03:47:30,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
406,Threat1,10.10.10.10,no tag,06/28/2019 16:35:21,81,APT1-70%,Exploitation,"PCI, GDPR",Open
407,Threat2,10.10.10.11,tag1,11/01/2018 22:15,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
408,Threat3,10.10.10.13,tag2,08/13/2018 05:28:11,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
409,Threat4,10.10.10.12,tag1,10/09/2013 12:08,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
410,Threat5,10.10.10.15,tag0,02/15/2014 20:39:17,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
411,Threat1,10.10.10.10,no tag,04/19/2018 21:52:40,81,APT1-70%,Exploitation,"PCI, GDPR",Open
412,Threat2,10.10.10.11,tag1,04/27/2012 17:18:21,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
413,Threat3,10.10.10.13,tag2,10/01/2019 05:20,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
414,Threat4,10.10.10.12,tag1,02/16/2018 03:47:58,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
415,Threat5,10.10.10.15,tag0,01/01/2015 09:42,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
416,Threat1,10.10.10.10,no tag,07/09/2014 08:16,81,APT1-70%,Exploitation,"PCI, GDPR",Open
417,Threat2,10.10.10.11,tag1,02/18/2019 07:39:31,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
418,Threat3,10.10.10.13,tag2,10/03/2016 15:16,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
419,Threat4,10.10.10.12,tag1,08/24/2014 22:05:04,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
420,Threat5,10.10.10.15,tag0,10/19/2016 08:18:57,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
421,Threat1,10.10.10.10,no tag,08/31/2012 19:26:50,81,APT1-70%,Exploitation,"PCI, GDPR",Open
422,Threat2,10.10.10.11,tag1,03/04/2012 11:16,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
423,Threat3,10.10.10.13,tag2,03/04/2013 22:05,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
424,Threat4,10.10.10.12,tag1,10/24/2019 22:10:30,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
425,Threat5,10.10.10.15,tag0,12/08/2018 20:10,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
426,Threat1,10.10.10.10,no tag,05/07/2018 17:07,81,APT1-70%,Exploitation,"PCI, GDPR",Open
427,Threat2,10.10.10.11,tag1,09/21/2013 05:04:04,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
428,Threat3,10.10.10.13,tag2,02/19/2019 08:52:42,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
429,Threat4,10.10.10.12,tag1,04/06/2013 10:06,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
430,Threat5,10.10.10.15,tag0,06/13/2012 05:31:10,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
431,Threat1,10.10.10.10,no tag,07/23/2018 11:02:41,81,APT1-70%,Exploitation,"PCI, GDPR",Open
432,Threat2,10.10.10.11,tag1,03/17/2013 08:04:02,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
433,Threat3,10.10.10.13,tag2,08/01/2012 18:44,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
434,Threat4,10.10.10.12,tag1,03/17/2014 06:03:34,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
435,Threat5,10.10.10.15,tag0,11/04/2013 21:23,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
436,Threat1,10.10.10.10,no tag,10/15/2013 04:09:27,81,APT1-70%,Exploitation,"PCI, GDPR",Open
437,Threat2,10.10.10.11,tag1,02/02/2020 10:31,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
